Ensembl	Transcript ID	Chromosome	Start	Stop	Total counts	Maximum counts	Average coverage	gene_biotype	gene_id	gene_name	gene_source	gene_version	Total count	Expressed genes	Ribosomal reads percent	P-value (day14_ vs day0_)	FDR step up (day14_ vs day0_)	Fold change (day14_ vs day0_)	Log2 Fold-Change (day14_ vs day0_)	P-value (day21_ vs day0_)	FDR step up (day21_ vs day0_)	Fold change (day21_ vs day0_)	Log2 Fold-Change (day21_ vs day0_)	P-value (day35_ vs day0_)	FDR step up (day35_ vs day0_)	Fold change (day35_ vs day0_)	Log2 Fold-Change (day35_ vs day0_)	P-value (day60_ vs day0_)	FDR step up (day60_ vs day0_)	Fold change (day60_ vs day0_)	Log2 Fold-Change (day60_ vs day0_)
LHX1	ENST00000621767	17	36936785	36944613	39171.11777129E0	3261.87594036939E0	870.469283806444E0	protein_coding	ENSG00000273706	LHX1	ensembl_havana	5	3.2114266979681e-322	8.48580967817695e-318	12	4.26162154288829E-9	1.72857351002767E-8	-9.7671331621576E0	-3.2879351661167E0	1.05645028723577E-17	6.51557349096089E-17	16.1802134489017E0	4.0161587347715E0	2.08444602324859E-47	2.88534183786848E-46	109.174988812327E0	6.77049857305318E0	8.90188819964719E-37	6.83950034730503E-36	61.0533344482802E0	5.93199818552395E0
MAP2	ENST00000473543	2	209424047	209734119	1361675.84590997E0	88635.1397123691E0	30259.4632424438E0	protein_coding	ENSG00000078018	MAP2	ensembl_havana	21	154	5	0	2.18450798290558E-25	2.78223920155933E-24	5.46760020006142E0	2.45090775456136E0	2.82563737786511E-90	2.81805639953425E-88	26.7345531615576E0	4.74063365877586E0	5.10466307795417E-151	9.0752031851107E-149	71.4315775516111E0	6.15849007819008E0	4.7988375076458E-151	6.62920492187962E-149	71.4618796281097E0	6.15910195583671E0
NANOG	ENST00000526286	12	7787794	7799147	32130.7146286686E0	5288.44104341435E0	714.015880637079E0	protein_coding	ENSG00000111704	NANOG	ensembl_havana	11	31505	21873	0	7.69416869808924E-103	1.62586885220268E-100	-2236.35691974336E0	-11.1269347435278E0	7.31585255210979E-100	9.17623346183342E-98	-2061.74942933905E0	-11.0096532929181E0	1.22779901144239E-67	3.20591964098845E-66	-7639.6170074596E0	-12.8992845989325E0	1.30072970454288E-94	5.37240784027863E-93	-2058.17416335166E0	-11.0071493533723E0
NEUROD1	ENST00000683430	2	181668295	181680828	16520.2797788026E0	2154.02913346526E0	367.117328417835E0	protein_coding	ENSG00000162992	NEUROD1	ensembl_havana	5	4	5869	1	5.13383627187284E-44	1.61166374464609E-42	223.136488683646E0	7.80178264122559E0	1.00395686930634E-62	4.23214395731303E-61	658.986991817319E0	9.36410617697183E0	5.95735389429615E-40	6.42056406794332E-39	171.229320084434E0	7.41978594944974E0	8.91582033510308E-42	8.19622062730137E-41	193.491894985157E0	7.59612932560375E0
NFIA	ENST00000493627	1	60865259	61462789	37582.6797962325E0	3095.02672830863E0	835.170662138499E0	protein_coding	ENSG00000162599	NFIA	ensembl_havana	17	12	26	3240	1.11536219654618E-6	3.51042567048775E-6	-3.75325294100628E0	-1.90814152029118E0	9.82558085982221E-5	2.22290583909555E-4	-2.86325368463603E0	-1.51765549896196E0	3.92204837812074E-22	2.12189148162685E-21	13.0527975132987E0	3.70628713739385E0	3.56823556158844E-24	1.70370331753096E-23	14.788627829501E0	3.88641629232694E0
OTX2	ENST00000554559	14	56799905	56816694	16991.1133001705E0	3889.96017056246E0	377.580295559344E0	protein_coding	ENSG00000165588	OTX2	ensembl_havana	19	28	11676	0	4.58739185136548E-11	2.23257614321531E-10	-64.2321048511971E0	-6.00522266843965E0	3.03506436450588E-13	1.40930935571934E-12	-101.991518311159E0	-6.67230537139097E0	2.15778667153342E-16	8.79855374940184E-16	-189.921810100327E0	-7.56926177992153E0	1.0122762190278E-18	3.89388284064411E-18	-307.39058562242E0	-8.26392917040577E0
PAX2	ENST00000554172	10	100735396	100829945	57842.1355281983E0	5896.75513247555E0	1285.38078951552E0	protein_coding	ENSG00000075891	PAX2	ensembl_havana	23	2	2	1	4.81952679480932E-30	7.88620654218092E-29	122.387525608041E0	6.93531270809492E0	2.9145725277447E-50	7.79953342012308E-49	535.565826375629E0	9.0649200972418E0	3.12700802936592E-74	9.98932486881035E-73	2163.7538576907E0	11.0793206763932E0	6.35484684946975E-70	1.33805194477249E-68	1716.42062769633E0	10.7451874290668E0
PAX6	ENST00000640819	11	31784779	31817962	96846.4210461786E0	9538.9301892126E0	2152.14268991508E0	protein_coding	ENSG00000007372	PAX6	ensembl_havana	25	31646	481	0	4.7674541502233E-71	4.4193400452919E-69	191.799358971897E0	7.5834540883914E0	3.8448259632463E-117	6.835431897267E-115	882.561410092893E0	9.78555285677506E0	2.85166866518054E-96	1.61502398503092E-94	463.324100131318E0	8.85587791690233E0	4.16148004122992E-71	9.08989951313523E-70	192.359736141911E0	7.58766304217076E0
POU5F1	ENST00000461401	6	31164337	31180732	361250.679313456E0	48884.3646265878E0	8027.79287363236E0	protein_coding	ENSG00000204531	POU5F1	ensembl_havana	21	11	1	0	1.57400012805949E-127	6.31270418706636E-125	-988.789141391687E0	-9.9495190898269E0	2.56466943856018E-163	9.71012345765979E-161	-3506.73271192718E0	-11.7759117552092E0	7.09869560156613E-170	1.66819346636804E-167	-11497.1090595855E0	-13.4889835216129E0	1.31745848301216E-152	1.87051657535998E-150	-2511.35748047795E0	-11.2942516890599E0
PTF1A	ENST00000640697	10	23192312	23194246	1952.22586812394E0	249.576895264924E0	43.3827970694208E0	protein_coding	ENSG00000168267	PTF1A	ensembl_havana	7	751	219	0	4.58038285091097E-5	1.18190236063685E-4	5.18927728329473E0	2.37553362675088E0	0.00155957684184972E0	0.00302979366510999E0	3.71329295789505E0	1.8926991401939E0	4.57991204397919E-41	5.11394329542079E-40	160.377793002575E0	7.32533058005229E0	9.32856637106804E-22	4.05620032872153E-21	38.9951126682287E0	5.28522141447393E0
S100B	ENST00000397648	21	46598604	46605209	23852.2342873272E0	3594.0847435913E0	530.049650829494E0	protein_coding	ENSG00000160307	S100B	ensembl_havana	10	1	4	1288	1.80229735392938E-8	6.82836853661465E-8	17.8939335169869E0	4.16139865621059E0	1.07458147720605E-8	3.57232817910207E-8	18.7218087164504E0	4.22664791550316E0	3.07577748544744E-5	6.13325569979254E-5	8.47265219275846E0	3.08281364681884E0	3.32908697953788E-18	1.24680680155069E-17	86.049861702549E0	6.42710096848687E0
SKOR2	ENST00000400404	18	47206169	47251661	4719.26387690529E0	597.076577363379E0	104.872530597895E0	protein_coding	ENSG00000215474	SKOR2	ensembl_havana	8	6	1	354	1.59100338544436E-19	1.42508653285107E-18	-43.5215195409675E0	-5.44365702362514E0	2.28932502522203E-11	9.26836636448801E-11	-7.1938854604258E0	-2.84677118936054E0	5.15442349509999E-16	2.06510265250479E-15	7.81841685422834E0	2.96687650679342E0	6.14047519097705E-12	1.71154758390628E-11	5.7446505227029E0	2.5222191288158E0
SOX9	ENST00000245479	17	72121020	72126417	124606.852909179E0	8267.2220251503E0	2769.04117575954E0	protein_coding	ENSG00000125398	SOX9	ensembl_havana	8	0	4	4	1.12754494356114E-11	5.75695329458653E-11	3.66579824170327E0	1.87412738497651E0	1.59662045399339E-13	7.58960827293535E-13	4.10289579883585E0	2.03664251459805E0	1.9212897000919E-43	2.32293127843755E-42	14.0479360085496E0	3.81228627309377E0	6.85683040229931E-19	2.65607990858298E-18	5.4644078070915E0	2.45006515553762E0
WNT1	ENST00000293549	12	48978322	48982621	1122.14143253491E0	187.929849044922E0	24.9364762785534E0	protein_coding	ENSG00000125084	WNT1	ensembl_havana	13	0	0	184	5.81533969509127E-10	2.56010429408454E-9	38.7802744977332E0	5.27725111017108E0	3.1506585897124E-12	1.36040580499831E-11	60.8671156711698E0	5.92759109688689E0	5.80883605378596E-6	1.23787422472018E-5	14.8122002331221E0	3.88871405216818E0	0.00124620526388922E0	0.00203260204389431E0	7.04961839093064E0	2.81754516383587E0
ZIC1	ENST00000481840	3	147393422	147510294	116172.396760657E0	11704.3337205631E0	2581.6088169035E0	protein_coding	ENSG00000152977	ZIC1	ensembl_havana	10	5	0	106	0.677488366443227E0	0.741483760694164E0	-1.23503749116945E0	-0.304554837359161E0	0.0205711645535087E0	0.0336273654190842E0	3.23854914679103E0	1.69534763795024E0	5.83383274210375E-4	0.0010323066506172E0	5.72678128385456E0	2.51772450537957E0	0.0024536706249993E0	0.00387586308646455E0	4.650778477888E0	2.21747222421782E0
